runner,season,timeofday,distance,durationsec,avghr,maxhr,avgcadence,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course,avgstride
Adam,SPRING,AFTERNOON,3.14,1552,167,187,161,192,7.272727273,9.65,92,167,-75,DOWNHILL,1.21
Adam,SPRING,NIGHT,2,988,155,181,158,175,7.302231237,10.11,16,164,-148,DOWNHILL,1.24
Adam,SPRING,NIGHT,3.14,1569,164,179,158,196,7.214428858,11.29,75,469,-394,DOWNHILL,1.23
Adam,SPRING,AFTERNOON,3.14,1540,176,196,156,168,7.346938776,18.56,52,177,-125,DOWNHILL,1.26
Adam,SPRING,MORNING,3.14,1593,171,193,158,185,7.086614173,8.98,62,59,3,FLAT,1.2
Adam,SPRING,EVENING,3.15,1626,170,182,158,196,6.976744186,12.46,66,157,-91,DOWNHILL,1.19
Adam,SPRING,EVENING,2.72,1963,151,182,116,174,4.986149584,9.76,72,157,-85,DOWNHILL,1.13
Adam,WINTER,AFTERNOON,2.01,989,171,187,158,183,7.317073171,9.14,43,154,-111,DOWNHILL,1.24
Adam,WINTER,EVENING,1.88,1015,160,175,150,225,6.666666667,9.23,33,135,-102,DOWNHILL,1.17
Adam,WINTER,MORNING,4.18,2400,160,176,147,197,6.271777003,8.87,207,184,23,UPHILL,1.11
Adam,WINTER,AFTERNOON,3.1,1573,160,177,155,186,7.086614173,12.04,89,164,-75,DOWNHILL,1.21
Adam,WINTER,EVENING,3.11,1789,146,173,148,198,6.25,10.17,82,171,-89,DOWNHILL,1.1
Adam,WINTER,EVENING,2.44,1500,161,183,141,205,5.863192182,10.11,79,164,-85,DOWNHILL,1.09
Adam,WINTER,EVENING,2.47,1500,154,180,141,182,5.930807249,9.76,69,174,-105,DOWNHILL,1.09
Adam,WINTER,AFTERNOON,4.54,2865,154,180,137,233,5.705229794,9.94,115,197,-82,DOWNHILL,1.08
Adam,WINTER,EVENING,2.72,1500,159,181,149,204,6.52173913,9.23,69,167,-98,DOWNHILL,1.14
Adam,WINTER,EVENING,2.8,1500,156,180,152,199,6.71641791,9.45,98,180,-82,DOWNHILL,1.17
Adam,WINTER,MORNING,4.06,2751,161,178,145,231,5.309734513,9.23,476,476,0,FLAT,0.94
Adam,AUTUMN,AFTERNOON,2.19,1200,157,179,141,172,6.569343066,13.90,69,171,-102,DOWNHILL,1.25
Adam,AUTUMN,EVENING,2.5,1305,162,183,153,228,6.896551724,9.23,72,167,-95,DOWNHILL,1.21
Adam,AUTUMN,EVENING,3.11,1559,162,178,158,192,7.185628743,11.43,108,187,-79,DOWNHILL,1.22
Adam,AUTUMN,EVENING,3.11,1545,167,180,158,196,7.243460765,12.16,95,187,-92,DOWNHILL,1.23
Adam,AUTUMN,EVENING,3.1,1563,164,180,158,181,7.142857143,11.58,92,187,-95,DOWNHILL,1.2
Adam,AUTUMN,EVENING,3.05,1533,172,184,158,199,7.171314741,10.65,79,180,-101,DOWNHILL,1.21
Adam,AUTUMN,MORNING,7.25,3947,177,193,154,170,6.617647059,9.45,428,449,-21,DOWNHILL,1.15
Adam,AUTUMN,MORNING,1.45,867,151,178,150,166,6.010016694,8.89,17,20,-3,FLAT,1.07
Adam,AUTUMN,EVENING,2.16,1160,159,175,156,178,6.691449814,14.81,58,146,-88,DOWNHILL,1.16
Adam,AUTUMN,EVENING,3.01,1631,159,179,156,176,6.642066421,10.56,105,187,-82,DOWNHILL,1.15
Adam,AUTUMN,MORNING,13.27,8105,164,192,148,234,5.89198036,11.92,933,934,-1,FLAT,1.06
Adam,AUTUMN,EVENING,4.72,2877,144,163,146,192,5.911330049,24.66,144,138,6,FLAT,1.09
Adam,AUTUMN,MORNING,4.26,2397,153,168,158,180,6.40569395,9.65,232,230,2,FLAT,1.09
Adam,AUTUMN,AFTERNOON,3.1,1738,157,180,152,172,6.428571429,9.70,74,171,-97,DOWNHILL,1.14
Adam,AUTUMN,MORNING,3.12,1713,154,167,158,164,6.557377049,8.22,25,25,0,FLAT,1.11
Adam,AUTUMN,EVENING,6,2983,163,180,158,198,7.243460765,12.24,191,278,-87,DOWNHILL,1.23
Adam,AUTUMN,EVENING,3.33,1780,162,179,156,174,6.741573034,9.55,24,24,0,FLAT,1.15
Adam,AUTUMN,MORNING,6,3326,160,185,158,174,6.498194946,12.33,113,198,-85,DOWNHILL,1.11
Adam,AUTUMN,MORNING,3.1,1628,162,176,158,170,6.857142857,8.91,23,25,-2,FLAT,1.16
Adam,AUTUMN,EVENING,2.77,1652,153,176,148,196,6.040268456,14.69,80,163,-83,DOWNHILL,1.1
Adam,SUMMER,MORNING,0.7,382,156,164,160,178,6.557377049,9.70,20,21,-1,FLAT,1.1
Adam,SUMMER,MORNING,5,2666,159,183,158,180,6.754221388,13.38,46,46,0,FLAT,1.14
Adam,SUMMER,MORNING,3.1,1621,157,166,160,170,6.883365201,10.62,23,25,-2,FLAT,1.16
Adam,SUMMER,NIGHT,3.1,1698,147,166,156,186,6.581352834,11.58,63,149,-86,DOWNHILL,1.14
Adam,SUMMER,MORNING,4.23,2360,160,192,158,170,6.451612903,11.58,40,40,0,FLAT,1.09
Adam,SUMMER,MORNING,5.56,3131,150,170,158,172,6.394316163,11.25,56,55,1,FLAT,1.09
Adam,SUMMER,MORNING,2.85,1606,154,171,156,168,6.394316163,16.74,59,56,3,FLAT,1.09
Adam,SUMMER,EVENING,4.05,2179,166,182,154,168,6.691449814,10.20,66,199,-133,DOWNHILL,1.16
Adam,SUMMER,NIGHT,4,2107,161,177,156,178,6.844106464,10.29,105,191,-86,DOWNHILL,1.18
Adam,SUMMER,MORNING,3.1,1639,161,181,154,174,6.805293006,10.59,78,169,-91,DOWNHILL,1.19
Adam,SUMMER,EVENING,3.1,1744,155,171,152,170,6.40569395,9.89,62,156,-94,DOWNHILL,1.12
Adam,SUMMER,AFTERNOON,2,1883,130,178,124,170,3.821656051,20.81,275,286,-11,FLAT,0.83
Adam,SUMMER,EVENING,3.1,1661,156,181,154,180,6.728971963,10.06,72,171,-99,DOWNHILL,1.18
Adam,SUMMER,MORNING,3.1,1604,146,180,158,168,6.963249516,9.57,54,51,3,FLAT,1.19
Adam,SUMMER,MORNING,7.02,5188,140,173,140,180,4.871447903,10.34,175,231,-56,DOWNHILL,0.93
Adam,SUMMER,NIGHT,4.01,2145,156,189,156,170,6.728971963,9.00,113,194,-81,DOWNHILL,1.16
Adam,SUMMER,NIGHT,5.08,2606,177,189,154,170,7.01754386,9.16,163,149,14,FLAT,1.23
Adam,SUMMER,EVENING,3.1,1517,167,181,156,188,7.36196319,13.19,56,139,-83,DOWNHILL,1.27
Adam,SUMMER,NIGHT,5.01,2602,160,176,158,186,6.923076923,12.86,140,222,-82,DOWNHILL,1.19
Adam,SUMMER,EVENING,2.63,1593,153,174,148,178,5.940594059,11.39,74,156,-82,DOWNHILL,1.08
Adam,SUMMER,NIGHT,3.1,1522,160,186,158,176,7.33197556,31.86,63,147,-84,DOWNHILL,1.25
Adam,SUMMER,NIGHT,3.1,1649,170,184,156,172,6.779661017,11.76,31,31,0,FLAT,1.17
Adam,SUMMER,EVENING,3.1,1664,163,184,156,170,6.703910615,10.00,71,160,-89,DOWNHILL,1.15
Adam,SPRING,EVENING,4.02,2378,150,170,152,166,6.081081081,8.91,107,190,-83,DOWNHILL,1.08
Adam,SPRING,NIGHT,3.11,1706,150,174,156,168,6.569343066,17.73,47,49,-2,FLAT,1.12
Adam,SPRING,MORNING,2.47,1663,155,180,148,186,5.357142857,12.20,58,142,-84,DOWNHILL,0.96
Adam,SPRING,MORNING,6,4180,155,180,142,182,5.164992826,10.68,190,185,5,FLAT,0.97
Adam,SPRING,NIGHT,4.55,2673,163,183,152,170,6.12244898,10.88,114,195,-81,DOWNHILL,1.09
Adam,SPRING,AFTERNOON,3.51,2492,152,194,138,174,5.077574048,10.08,173,170,3,FLAT,0.97
Adam,SPRING,AFTERNOON,3.36,1835,162,180,154,200,6.593406593,8.91,126,269,-143,DOWNHILL,1.15
Adam,SPRING,MORNING,3.1,1652,163,187,152,184,6.741573034,12.16,45,128,-83,DOWNHILL,1.19
Adam,SPRING,NIGHT,4.75,2994,157,187,148,186,5.714285714,11.54,168,251,-83,DOWNHILL,1.03
Adam,SPRING,NIGHT,3.1,1552,165,188,152,184,7.2,15.32,85,164,-79,DOWNHILL,1.27
Adam,SPRING,EVENING,6,3211,155,178,156,188,6.728971963,10.00,147,229,-82,DOWNHILL,1.16
Adam,SPRING,MORNING,8,5137,162,185,148,184,5.607476636,11.73,150,143,7,FLAT,1.01
Adam,SPRING,EVENING,4.61,2691,155,177,150,176,6.164383562,10.65,127,189,-62,DOWNHILL,1.1
Adam,SPRING,EVENING,3.1,1662,144,162,154,210,6.71641791,14.17,32,128,-96,DOWNHILL,1.17
Adam,SPRING,EVENING,3.11,1741,151,177,154,176,6.428571429,9.42,47,131,-84,DOWNHILL,1.12
Adam,WINTER,AFTERNOON,5,2489,170,184,158,182,7.243460765,11.65,154,247,-93,DOWNHILL,1.23
Adam,WINTER,EVENING,5.01,2506,147,182,158,180,7.2,10.94,111,188,-77,DOWNHILL,1.22
Adam,WINTER,EVENING,3.35,1818,156,167,158,176,6.629834254,9.18,67,163,-96,DOWNHILL,1.13
Adam,WINTER,EVENING,3.11,1400,160,184,158,186,7.982261641,12.63,68,209,-141,DOWNHILL,1.35
Adam,WINTER,EVENING,3,1818,141,173,144,196,5.930807249,16.36,91,155,-64,DOWNHILL,1.1
Adam,WINTER,MORNING,3.1,1513,152,176,156,172,7.37704918,9.47,62,155,-93,DOWNHILL,1.27
Adam,WINTER,EVENING,3.1,1390,155,184,156,184,8.017817372,11.73,83,159,-76,DOWNHILL,1.38
Adam,WINTER,AFTERNOON,3.1,1570,153,178,152,186,7.114624506,13.58,83,161,-78,DOWNHILL,1.24
Adam,WINTER,EVENING,3.1,1539,148,175,156,200,7.258064516,11.39,42,133,-91,DOWNHILL,1.25
Adam,WINTER,EVENING,3.11,1553,143,173,158,190,7.214428858,13.95,50,133,-83,DOWNHILL,1.22
Adam,WINTER,AFTERNOON,5,3118,144,165,152,178,5.778491172,10.81,62,118,-56,DOWNHILL,1.02
Adam,WINTER,EVENING,5.38,2734,157,177,156,180,7.086614173,12.20,137,260,-123,DOWNHILL,1.22
Adam,WINTER,EVENING,5.16,2632,160,175,156,244,7.058823529,12.77,156,276,-120,DOWNHILL,1.21
Adam,WINTER,AFTERNOON,7.45,4592,149,172,148,192,5.834683955,73.47,184,255,-71,DOWNHILL,1.05
Adam,WINTER,EVENING,7.01,3837,157,187,156,182,6.569343066,10.68,188,274,-86,DOWNHILL,1.12
Adam,WINTER,EVENING,3.59,2037,148,169,156,184,6.349206349,13.64,38,128,-90,DOWNHILL,1.09
Adam,WINTER,AFTERNOON,3,1787,154,182,150,186,6.050420168,11.46,72,163,-91,DOWNHILL,1.08
Adam,WINTER,MORNING,5,2728,166,179,158,174,6.593406593,14.69,144,222,-78,DOWNHILL,1.12
Adam,WINTER,EVENING,1.89,1094,159,185,156,198,6.206896552,12.59,51,54,-3,FLAT,1.08
Leah,WINTER,MORNING,20.04,16142,156,186,137,245,4.472049689,6.95,"2,694","2,589",105,UPHILL,0.87
Leah,WINTER,MORNING,16.07,13937,148,187,127,245,4.152249135,41.38,"3,005","2,976",29,UPHILL,0.86
Leah,WINTER,MORNING,15.06,11841,156,185,141,234,4.57433291,7.16,"2,018","2,031",-13,FLAT,0.87
Leah,WINTER,MORNING,14.01,12057,150,182,122,246,4.181184669,7.76,"1,985","1,893",92,UPHILL,0.92
Leah,WINTER,MORNING,13.1,10226,150,184,140,238,4.609475032,7.03,"1,768","1,729",39,UPHILL,0.88
Leah,WINTER,EVENING,10.19,5785,165,191,164,175,6.338028169,7.68,295,397,-102,DOWNHILL,1.03
Leah,WINTER,AFTERNOON,10.11,7960,153,184,144,242,4.57433291,7.02,"1,401","1,460",-59,DOWNHILL,0.84
Leah,WINTER,AFTERNOON,10.01,6946,163,195,146,241,5.187319885,7.47,"1,332","1,355",-23,DOWNHILL,0.95
Leah,WINTER,AFTERNOON,9.51,7272,159,190,142,249,4.705882353,7.76,"1,329","1,309",20,UPHILL,0.88
Leah,WINTER,EVENING,9.19,5141,165,180,168,178,6.440071556,8.09,282,354,-72,DOWNHILL,1.03
Leah,AUTUMN,MORNING,8.18,4807,168,186,157,176,6.12244898,8.45,285,344,-59,DOWNHILL,1.04
Leah,WINTER,AFTERNOON,8.09,5306,156,182,154,176,5.487804878,7.02,781,876,-95,DOWNHILL,0.96
Leah,WINTER,MORNING,8.06,5370,167,192,152,216,5.405405405,7.56,860,850,10,FLAT,0.95
Leah,WINTER,AFTERNOON,8.01,7214,139,187,121,247,3.995560488,7.44,"1,385","1,394",-9,FLAT,0.89
Leah,SPRING,AFTERNOON,7.75,9231,115,165,103,250,3.022670025,8.00,"1,444","1,132",312,UPHILL,0.78
Leah,WINTER,AFTERNOON,7.4,7052,126,168,123,249,3.777544596,6.87,"1,050","1,053",-3,FLAT,0.82
Leah,WINTER,EVENING,7.13,3865,168,185,166,175,6.642066421,8.26,135,256,-121,DOWNHILL,1.07
Leah,WINTER,EVENING,7.01,4063,167,182,164,174,6.206896552,7.50,177,318,-141,DOWNHILL,1.02
Leah,SPRING,AFTERNOON,6.78,4588,164,187,154,237,5.325443787,7.26,784,784,0,FLAT,0.92
Leah,SPRING,EVENING,6.63,3519,168,188,166,176,6.79245283,8.22,157,308,-151,DOWNHILL,1.1
Leah,WINTER,AFTERNOON,6.62,4514,157,189,152,247,5.278592375,6.98,741,735,6,FLAT,0.93
Leah,WINTER,MORNING,6.5,3685,168,185,165,178,6.349206349,7.79,184,292,-108,DOWNHILL,1.03
Leah,SPRING,MORNING,6.34,3403,176,186,167,179,6.71641791,8.65,151,75,76,UPHILL,1.08
Leah,WINTER,EVENING,6.22,3469,167,181,166,176,6.463195691,7.64,144,243,-99,DOWNHILL,1.04
Leah,WINTER,EVENING,6.21,3483,167,184,160,239,6.417112299,7.95,177,272,-95,DOWNHILL,1.08
Leah,SPRING,MORNING,6.21,3409,168,183,166,174,6.557377049,8.07,164,295,-131,DOWNHILL,1.06
Leah,AUTUMN,EVENING,6.17,3388,171,185,166,176,6.557377049,8.16,138,249,-111,DOWNHILL,1.06
Leah,WINTER,EVENING,6.15,3346,170,183,166,177,6.617647059,7.89,171,269,-98,DOWNHILL,1.07
Leah,WINTER,AFTERNOON,6.1,3988,163,184,151,183,5.513016845,7.56,614,577,37,UPHILL,0.97
Leah,WINTER,AFTERNOON,6.1,4403,152,183,146,231,4.986149584,8.02,810,801,9,FLAT,0.91
Leah,WINTER,EVENING,6.07,3375,164,179,167,174,6.474820144,7.83,151,249,-98,DOWNHILL,1.04
